country,player_name,player_club,in_top_5_league,player_age,market_value,market_value_int
Lebanon,Ali Sabeh,Jwaya SC,False,31,€325k,325000
Lebanon,Mehdi Khalil,Al-Ahed,False,34,€150k,150000
Lebanon,Khalil Khamis,Nejmeh SC,False,31,€325k,325000
Lebanon,Hasan Farhat,Jwaya SC,False,21,€250k,250000
Lebanon,Kassem El Zein,Nejmeh SC,False,35,€225k,225000
Lebanon,Hussein Sharafeddine,Safa Beirut SC,False,28,€175k,175000
Lebanon,Mohamad Safwan,Nejmeh SC,False,22,€300k,300000
Lebanon,Mohammad Al-Hayek,Newroz SC,False,26,€250k,250000
Lebanon,Hussein Zein,Nejmeh SC,False,31,€350k,350000
Lebanon,Nassar Nassar,Al-Ansar FC,False,34,€225k,225000
Lebanon,Walid Shour,Jwaya SC,False,29,€325k,325000
Lebanon,Ahmad Kheir El-Dine,Al-Ansar FC,False,30,€300k,300000
Lebanon,Ali Tneich,Al-Ansar FC,False,33,€225k,225000
Lebanon,Khoder Kaddour,Hume City FC,False,22,€50k,50000
Lebanon,Mohamad Haidar,Al-Ahed,False,36,€225k,225000
Lebanon,Gabriel Bitar,Inter Toronto FC,False,27,€175k,175000
Lebanon,Zein Farran,Jwaya SC,False,26,€325k,325000
Lebanon,Ali Kassas,Nejmeh SC,False,23,€300k,300000
Lebanon,Hussein Ezzeddine,Al-Ahed,False,23,€275k,275000
Lebanon,Samy Jr. Merheg,SC Braga,False,19,€1.00m,1000000
Lebanon,Omar Bugiel,AFC Wimbledon,False,32,€175k,175000
Lebanon,Malek Fakhro,Hallescher FC,False,28,€150k,150000
Singapore,Syazwan Buhari,BG Tampines Rovers,False,33,€100k,100000
Singapore,Izwan Mahbud,Young Lions,False,35,€75k,75000
Singapore,Rudy Khairullah,Geylang International,False,31,€50k,50000
Singapore,Lionel Tan,Lion City Sailors,False,28,€175k,175000
Singapore,Joshua Pereira,Geylang International,False,28,€150k,150000
Singapore,Safuwan Baharudin,Selangor FC,False,34,€125k,125000
Singapore,Hariss Harun,Lion City Sailors,False,35,€100k,100000
Singapore,Ryhan Stewart,Kanchanaburi Power FC,False,26,€250k,250000
Singapore,Irfan Najeeb,BG Tampines Rovers,False,26,€150k,150000
Singapore,Amirul Adli Azmi,Negeri Sembilan FC,False,30,€125k,125000
Singapore,Akram Azman,Lion City Sailors,False,25,€100k,100000
Singapore,Jacob Mahler,BG Tampines Rovers,False,25,€100k,100000
Singapore,Jared Gallagher,Nakhonratchasima Mazda FC,False,24,€75k,75000
Singapore,Harhys Stewart,Uthai Thani FC,False,24,€300k,300000
Singapore,Kyoga Nakamura,Lion City Sailors,False,29,€250k,250000
Singapore,Shah Shahiran,BG Tampines Rovers,False,26,€225k,225000
Singapore,Ui-young Song,Lion City Sailors,False,32,€200k,200000
Singapore,Hami Syahin,Lion City Sailors,False,27,€150k,150000
Singapore,Joel Chew,BG Tampines Rovers,False,26,€125k,125000
Singapore,Farhan Zulkifli,Hougang United,False,23,€125k,125000
Singapore,Faris Ramli,BG Tampines Rovers,False,33,€125k,125000
Singapore,Shawal Anuar,Lion City Sailors,False,34,€125k,125000
Singapore,Glenn Kweh,BG Tampines Rovers,False,25,€200k,200000
Singapore,Ikhsan Fandi,BG Pathum United,False,26,€250k,250000
Singapore,Ilhan Fandi,Buriram United,False,23,€200k,200000
Singapore,Jordan Emaviwe,Singha Chiangrai United,False,24,€150k,150000
